Filename,Exposure,Moon_XC,Moon_YC,Moon_Radius,Mean_SB
DSC_3728-Position4-cal.fits,0.01,4650.0,2606.0,677.0,0.05903809517621994
DSC_3780-Position4-cal.fits,0.0025,4694.0,2347.0,669.0,0.0033398186787962914
DSC_3644-Position4-cal.fits,0.00125,4146.0,2760.0,640.0,0.0017194959800690413
DSC_3934-Position3-cal.fits,0.005,4196.0,2443.0,676.0,0.001573000568896532
DSC_3850-Position1-cal.fits,0.33333,4774.0,1950.0,671.0,0.0803527757525444
DSC_3912-Position2-cal.fits,0.16667,4863.0,1486.0,675.0,0.05031176283955574
DSC_3731-Position4-cal.fits,0.07692,4650.0,2590.0,673.0,0.3473171889781952
DSC_3954-Position3-cal.fits,0.02,4206.0,2389.0,675.0,0.005909283179789782
DSC_3915-Position3-cal.fits,0.0025,4185.0,2490.0,677.0,0.0008643743931315839
DSC_3883-Position2-cal.fits,0.04,4847.0,1564.0,675.0,0.01435609720647335
DSC_3736-Position4-cal.fits,0.005,4651.0,2575.0,676.0,0.025366725400090218
DSC_3754-Position4-cal.fits,0.005,4661.0,2526.0,676.0,0.013559889048337936
DSC_3706-Position4-cal.fits,0.33333,nan,nan,nan,2.9260003566741943
DSC_3826-Position1-cal.fits,0.005,4761.0,2015.0,675.0,0.0019116807961836457
DSC_3767-Position4-cal.fits,0.07692,4669.0,2493.0,674.0,0.08475369960069656
DSC_3958-Position3-cal.fits,0.33333,4209.0,2380.0,672.0,0.07382316142320633
DSC_3763-Position4-cal.fits,0.005,4666.0,2502.0,676.0,0.009001112543046474
DSC_3697-Position4-cal.fits,0.33333,nan,nan,nan,2.926541805267334
DSC_3919-Position3-cal.fits,0.04,4187.0,2482.0,675.0,0.009914984926581383
DSC_3639-Position4-cal.fits,0.02,4143.0,2764.0,641.0,0.011520836502313614
DSC_3707-Position4-cal.fits,0.00125,4410.0,2703.0,534.0,0.037027888000011444
DSC_3809-Position4-cal.fits,0.01,4714.0,2264.0,676.0,0.012323243543505669
DSC_3642-Position4-cal.fits,0.16667,4144.0,2763.0,644.0,0.022143902257084846
DSC_3749-Position4-cal.fits,0.07692,4660.0,2543.0,674.0,0.1837899535894394
DSC_3703-Position4-cal.fits,0.04,4637.0,2650.0,674.0,0.8257119655609131
DSC_3835-Position1-cal.fits,0.005,4766.0,1990.0,675.0,0.0018967726500704885
DSC_3853-Position1-cal.fits,0.005,4776.0,1941.0,676.0,0.0019081976497545838
DSC_3724-Position4-cal.fits,0.33333,nan,nan,nan,2.860670804977417
DSC_3715-Position4-cal.fits,0.33333,nan,nan,nan,2.9144721031188965
DSC_3930-Position3-cal.fits,0.16667,4194.0,2457.0,675.0,0.041140057146549225
